Age,Income,Location,Samplingtime,Sex,Drinking,Education,Marriage,Smoking
51.253,52040.22989,11,1,2,0,2,2,0
37.21,12241.37931,11,1,2,0,2,2,0
65.311,7655.172414,11,1,2,0,1,2,0
64.402,7655.172414,11,1,1,1,2,2,1
74.582,3632.183908,11,1,2,0,1,4,1
49.292,40306.51341,11,1,2,0,1,2,0
68.961,7075.287356,11,1,1,1,1,2,0
73.947,7075.287356,11,1,2,1,2,2,1
47.209,158134.0996,11,1,1,0,1,2,1
47.732,158134.0996,11,1,2,0,2,2,0
51.359,24115.51724,11,1,1,1,1,2,1
51.154,24115.51724,11,1,2,0,1,2,0
58.795,7377.439712,11,1,1,1,1,2,1
59.058,7377.439712,11,1,2,0,1,2,0
66.13,29100,11,1,1,1,3,2,1
62.899,29100,11,1,2,0,2,2,0
49.9,46000,11,1,1,0,5,2,1
52.739,20000,11,1,2,0,3,2,0
76.723,30000,11,1,2,0,1,2,0
39.439,14366.66667,11,1,1,1,4,2,1
39.499,14366.66667,11,1,2,0,5,2,0
79.614,45600,11,1,1,0,5,2,1
55.132,42300,11,1,2,0,2,2,0
55.493,30200,11,1,1,0,2,2,1
54.842,30200,11,1,2,0,3,2,0
68.413,7574.712644,11,1,1,1,1,2,1
63.682,7574.712644,11,1,2,0,1,2,0
57.711,11119.54023,11,1,1,1,4,2,0
55.318,16091.95402,11,1,1,1,2,2,0
56.233,16091.95402,11,1,2,0,2,2,0
55.524,57931.03448,11,1,1,0,2,2,1
51.346,57931.03448,11,1,2,0,2,2,0
54.946,27557.47126,11,1,1,1,2,2,1
54.094,27557.47126,11,1,2,0,1,2,0
66.026,10919.54023,11,1,1,0,1,2,0
65.555,10919.54023,11,1,2,0,2,2,0
64.682,10488.50575,11,1,1,1,1,2,1
59.417,38620.68966,11,1,2,0,2,2,0
65.648,10488.50575,11,1,2,0,2,2,1
67.507,20373.56322,11,1,1,0,1,2,0
62.127,15344.82759,11,1,2,0,2,4,0
54.48,27586.2069,11,1,1,0,3,2,0
80.301,20632.18391,11,1,2,0,1,4,0
64.912,20373.56322,11,1,2,0,1,2,0
42.103,5459.770115,11,1,2,0,1,2,0
65.47,13639.84674,11,1,2,0,1,2,0
66.209,13639.84674,11,1,1,1,2,2,0
58.418,8965.517241,11,1,1,1,2,2,0
51.039,30557.47126,11,1,2,0,2,2,0
55.628,15172.41379,11,1,2,0,2,2,0
63.51,11178.16092,11,1,1,0,1,2,0
56.4,20708.81226,11,1,1,1,2,2,1
55.934,20708.81226,11,1,2,0,2,2,0
58.861,11178.16092,11,1,2,0,1,2,0
31.882,1014.367816,11,1,2,0,2,2,0
45.596,13773.94636,11,1,1,1,2,2,1
47.061,5517.241379,11,1,2,1,2,2,0
25.763,5517.241379,11,1,1,0,3,1,0
50.705,5517.241379,11,1,1,1,2,2,1
40.903,12011.49425,11,1,2,0,2,2,0
40.405,12011.49425,11,1,1,1,2,2,1
68.361,6022.988506,11,1,2,0,1,2,0
